Unique ID,Asset name,Asset id,Organization/Account,Identifier,Source,CVSS,Title,Description,Package Name,Installed Version,Fixed Version,Remediation,Severity,Due date,First detected date,Fixability
1,apply-frontend,464322508,acme-inc-Education,CVE-2024-4367,github,8.8,PDF.js vulnerable to arbitrary JavaScript execution upon opening a malicious PDF,"### Impact
If pdf.js is used to load a malicious PDF, and PDF.js is configured with `isEvalSupported` set to `true` (which is the default value), unrestricted attacker-controlled JavaScript will be executed in the context of the hosting domain.

### Patches
The patch removes the use of `eval`:
https://github.com/mozilla/pdf.js/pull/18015

### Workarounds
Set the option `isEvalSupported` to `false`. 

### References
https://bugzilla.mozilla.org/show_bug.cgi?id=1893645",npm-pdfjs-dist,<= 4.1.392,4.2.67,Update npm-pdfjs-dist from <= 4.1.392 to 4.2.67.,High,6/6/2024,5/7/2024,Fixable
2,apply-frontend,464322508,acme-inc-Education,CVE-2024-34342,github,7.1,react-pdf vulnerable to arbitrary JavaScript execution upon opening a malicious PDF with PDF.js,"### Summary

If PDF.js is used to load a malicious PDF, and PDF.js is configured with `isEvalSupported` set to `true` (which is the default value), unrestricted attacker-controlled JavaScript will be executed in the context of the hosting domain.

### Patches
[This patch](https://github.com/wojtekmaj/react-pdf/commit/671e6eaa2e373e404040c13cc6b668fe39839cad) forces `isEvalSupported` to `false`, removing the attack vector.

### Workarounds
Set `options.isEvalSupported` to `false`, where `options` is `Document` component prop.

### References
- [GHSA-wgrm-67xf-hhpq](https://github.com/mozilla/pdf.js/security/advisories/GHSA-wgrm-67xf-hhpq)
- https://github.com/mozilla/pdf.js/pull/18015
- https://github.com/mozilla/pdf.js/commit/85e64b5c16c9aaef738f421733c12911a441cec6
- https://bugzilla.mozilla.org/show_bug.cgi?id=1893645",npm-react-pdf,< 7.7.3,7.7.3,Update npm-react-pdf from < 7.7.3 to 7.7.3.,High,6/7/2024,5/8/2024,Fixable
3,apply-api,464323181,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/14/2024,6/14/2024,Fixable
4,apply-api,464323181,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/14/2024,6/14/2024,Fixable
5,explore-api,615133206,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/15/2024,6/15/2024,Fixable
6,apply-api,464323181,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/15/2024,6/15/2024,Fixable
7,apply-api,464323181,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/15/2024,6/15/2024,Fixable
8,apply-api,464323181,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/16/2024,6/16/2024,Fixable
9,apply-auth,574559315,acme-inc-Education,CVE-2024-4068,github,7.5,Uncontrolled resource consumption in braces,"The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.
",npm-braces,< 3.0.3,3.0.3,Update npm-braces from < 3.0.3 to 3.0.3.,High,7/16/2024,6/16/2024,Fixable
10,apply-api,464323181,acme-inc-Education,CVE-2024-37890,github,7.5,ws affected by a DoS when handling a request with many HTTP headers,"### Impact

A request with a number of headers exceeding the[`server.maxHeadersCount`][] threshold could be used to crash a ws server.

### Proof of concept

```js
const http = require('http');
const WebSocket = require('ws');

const wss = new WebSocket.Server({ port: 0 }, function () {
  const chars = ""!#$%&'*+-.0123456789abcdefghijklmnopqrstuvwxyz^_`|~"".split('');
  const headers = {};
  let count = 0;

  for (let i = 0; i < chars.length; i++) {
    if (count === 2000) break;

    for (let j = 0; j < chars.length; j++) {
      const key = chars[i] + chars[j];
      headers[key] = 'x';

      if (++count === 2000) break;
    }
  }

  headers.Connection = 'Upgrade';
  headers.Upgrade = 'websocket';
  headers['Sec-WebSocket-Key'] = 'dGhlIHNhbXBsZSBub25jZQ==';
  headers['Sec-WebSocket-Version'] = '13';

  const request = http.request({
    headers: headers,
    host: '127.0.0.1',
    port: wss.address().port
  });

  request.end();
});
```

### Patches

The vulnerability was fixed in ws@8.17.1 (https://github.com/websockets/ws/commit/e55e5106f10fcbaac37cfa89759e4cc0d073a52c) and backported to ws@7.5.10 (https://github.com/websockets/ws/commit/22c28763234aa75a7e1b76f5c01c181260d7917f), ws@6.2.3 (https://github.com/websockets/ws/commit/eeb76d313e2a00dd5247ca3597bba7877d064a63), and ws@5.2.4 (https://github.com/websockets/ws/commit/4abd8f6de4b0b65ef80b3ff081989479ed93377e)

### Workarounds

In vulnerable versions of ws, the issue can be mitigated in the following ways:

1. Reduce the maximum allowed length of the request headers using the [`--max-http-header-size=size`][] and/or the [`maxHeaderSize`][] options so that no more headers than the `server.maxHeadersCount` limit can be sent.
2. Set `server.maxHeadersCount` to `0` so that no limit is applied.

### Credits

The vulnerability was reported by [Ryan LaPointe](https://github.com/rrlapointe) in https://github.com/websockets/ws/issues/2230.

### References

- https://github.com/websockets/ws/issues/2230
- https://github.com/websockets/ws/pull/2231

[`--max-http-header-size=size`]: https://nodejs.org/api/cli.html#--max-http-header-sizesize
[`maxHeaderSize`]: https://nodejs.org/api/http.html#httpcreateserveroptions-requestlistener
[`server.maxHeadersCount`]: https://nodejs.org/api/http.html#servermaxheaderscount
",npm-ws,">= 8.0.0, < 8.17.1",8.17.1,"Update npm-ws from >= 8.0.0, < 8.17.1 to 8.17.1.",High,7/18/2024,6/18/2024,Fixable
